precipitation,Month_en,Month_esp,Year
4.535835884257746,January,Enero,2019
5.801520434844425,January,Enero,2019
3.2314968259578154,January,Enero,2019
8.233602426285056,January,Enero,2019
5.6719003065799525,January,Enero,2019
12.554342965019554,January,Enero,2019
2.1318194314091157,February,Febrero,2019
2.1411968928187437,February,Febrero,2019
11.633964441628406,February,Febrero,2019
2.2486781753912415,February,Febrero,2019
4.877275836195841,February,Febrero,2019
1.3379980084082117,February,Febrero,2019
1.4484899768845503,March,Marzo,2019
2.35240901608154,March,Marzo,2019
1.3304324894418234,March,Marzo,2019
4.562677707916912,March,Marzo,2019
1.9124145642910941,March,Marzo,2019
1.4792744170042895,March,Marzo,2019
2.6323608507944964,April,Abril,2019
10.07774036246919,April,Abril,2019
7.168245844146207,April,Abril,2019
3.63030964312664,April,Abril,2019
3.9944148130099113,April,Abril,2019
10.815026000758113,April,Abril,2019
9.008337834062676,May,Mayo,2019
50.02899748423059,May,Mayo,2019
2.828354094741707,May,Mayo,2019
20.210531837574585,May,Mayo,2019
2.7761455711432967,May,Mayo,2019
10.061390319918148,May,Mayo,2019
57.54073704211912,June,Junio,2019
4.404707072110594,June,Junio,2019
66.0587340154369,June,Junio,2019
6.696685172422788,June,Junio,2019
3.657312794235943,June,Junio,2019
40.819927404134546,June,Junio,2019
34.76990270271179,July,Julio,2019
32.11851160039119,July,Julio,2019
11.835377676954476,July,Julio,2019
17.142055727877153,July,Julio,2019
46.584466193069765,July,Julio,2019
36.10313832704668,July,Julio,2019
34.168325777844444,August,Agosto,2019
22.085786588679998,August,Agosto,2019
26.493695967602132,August,Agosto,2019
18.515128376043794,August,Agosto,2019
28.643883600665575,August,Agosto,2019
20.420108374717497,August,Agosto,2019
23.59610726471624,September,Septiembre,2019
42.10431694511084,September,Septiembre,2019
40.347810049293635,September,Septiembre,2019
10.954628847286633,September,Septiembre,2019
26.96662266256841,September,Septiembre,2019
28.117972597237443,September,Septiembre,2019
13.857722375206055,October,Octubre,2019
38.65647137867567,October,Octubre,2019
17.707951797678714,October,Octubre,2019
22.503159571465794,October,Octubre,2019
13.95755879840742,October,Octubre,2019
26.459124776271498,October,Octubre,2019
19.892062193531082,November,Noviembre,2019
9.734309292977994,November,Noviembre,2019
26.282001130945545,November,Noviembre,2019
2.3057518142502094,November,Noviembre,2019
2.1592692910117908,November,Noviembre,2019
5.425226386165521,November,Noviembre,2019
2.546139528253648,December,Diciembre,2019
2.2998257815675323,December,Diciembre,2019
2.7398085300554373,December,Diciembre,2019
38.119291507832706,December,Diciembre,2019
5.834530962897493,December,Diciembre,2019
3.9492533835492107,December,Diciembre,2019
2.1804491459586934,January,Enero,2020
6.725103309645246,January,Enero,2020
3.2421453325952183,January,Enero,2020
1.588750769088967,January,Enero,2020
3.866743731797339,January,Enero,2020
3.384881144053624,January,Enero,2020
2.944547332037639,February,Febrero,2020
1.5075258635462967,February,Febrero,2020
2.573902789130984,February,Febrero,2020
1.5779327474431712,February,Febrero,2020
1.8167073386788672,February,Febrero,2020
2.525465902429469,February,Febrero,2020
1.073571938529602,March,Marzo,2020
2.343317680543556,March,Marzo,2020
1.3029874945564945,March,Marzo,2020
0.9285563701332203,March,Marzo,2020
0.9264410385213705,March,Marzo,2020
1.1015755791247974,March,Marzo,2020
1.7888393174020456,April,Abril,2020
1.116482497539237,April,Abril,2020
1.1719370535128293,April,Abril,2020
1.647995785342641,April,Abril,2020
2.666724969558413,April,Abril,2020
20.070784305149854,April,Abril,2020
6.117702903565796,May,Mayo,2020
57.1481414419672,May,Mayo,2020
14.615740824067021,May,Mayo,2020
16.123483192319412,May,Mayo,2020
35.27424577598468,May,Mayo,2020
89.98054566349509,May,Mayo,2020
189.30794636568072,June,Junio,2020
67.6362208836818,June,Junio,2020
41.162558306000314,June,Junio,2020
56.73465385026177,June,Junio,2020
26.142837064894117,June,Junio,2020
16.673189545161065,June,Junio,2020
26.734264056391726,July,Julio,2020
15.226863989376318,July,Julio,2020
14.156109442951488,July,Julio,2020
21.88456712057898,July,Julio,2020
36.63272434151297,July,Julio,2020
17.460749862389438,July,Julio,2020
15.245328345281106,August,Agosto,2020
42.3218155948466,August,Agosto,2020
35.18411029379825,August,Agosto,2020
29.87695055414352,August,Agosto,2020
42.28925338293615,August,Agosto,2020
12.379159739864022,August,Agosto,2020
32.43381335354864,September,Septiembre,2020
17.93639773459085,September,Septiembre,2020
46.79326050092948,September,Septiembre,2020
27.711482781733284,September,Septiembre,2020
23.460302183420332,September,Septiembre,2020
26.77337464051015,September,Septiembre,2020
141.86214532355626,October,Octubre,2020
128.60706189186558,October,Octubre,2020
13.767707358596184,October,Octubre,2020
14.274051766376516,October,Octubre,2020
33.004678950914126,October,Octubre,2020
75.44265277787753,October,Octubre,2020
18.751106488442307,November,Noviembre,2020
17.868448972760188,November,Noviembre,2020
19.80037955508998,November,Noviembre,2020
18.325276160352786,November,Noviembre,2020
4.125299507265995,November,Noviembre,2020
3.700772385700379,November,Noviembre,2020
12.128835212851905,December,Diciembre,2020
8.514512668231388,December,Diciembre,2020
6.68141750718394,December,Diciembre,2020
6.8569019030760705,December,Diciembre,2020
4.555538052880741,December,Diciembre,2020
4.107847597946812,December,Diciembre,2020
5.971218841213932,January,Enero,2021
3.7646551324926714,January,Enero,2021
21.114686931987826,January,Enero,2021
2.5267226695283105,January,Enero,2021
2.3931576600708437,January,Enero,2021
2.2154962831229326,January,Enero,2021
3.968099687134442,February,Febrero,2021
7.53738831069802,February,Febrero,2021
13.76445830179368,February,Febrero,2021
20.13297406207948,February,Febrero,2021
8.03259386567783,February,Febrero,2021
2.6645683373558997,February,Febrero,2021
2.8552854415215743,March,Marzo,2021
4.337502035801874,March,Marzo,2021
2.3923548155373036,March,Marzo,2021
6.047936331502341,March,Marzo,2021
2.0958335398465158,March,Marzo,2021
2.4140367758752874,March,Marzo,2021
2.971240068102023,April,Abril,2021
6.867464697550378,April,Abril,2021
2.922218059211448,April,Abril,2021
16.1001216220737,April,Abril,2021
17.578533288576804,April,Abril,2021
3.914060638101829,April,Abril,2021
2.3140417518656236,May,Mayo,2021
12.58442779883115,May,Mayo,2021
9.148287619582966,May,Mayo,2021
16.630145604506264,May,Mayo,2021
49.03287108405091,May,Mayo,2021
15.450153000167697,May,Mayo,2021
18.48429214416337,June,Junio,2021
17.558079512978356,June,Junio,2021
55.372447251008204,June,Junio,2021
128.665454348207,June,Junio,2021
3.5442736013393814,June,Junio,2021
32.716576921866775,June,Junio,2021
17.578672400542047,July,Julio,2021
1.9011469184121983,July,Julio,2021
31.32934506977522,July,Julio,2021
29.106463340058717,July,Julio,2021
13.198744702392926,July,Julio,2021
20.712039456698875,July,Julio,2021
22.812586875523415,August,Agosto,2021
22.068141817676572,August,Agosto,2021
18.148183647615095,August,Agosto,2021
39.916249804556976,August,Agosto,2021
39.416477008111045,August,Agosto,2021
17.951379358607085,August,Agosto,2021
19.598390106074756,September,Septiembre,2021
80.65608923155096,September,Septiembre,2021
73.46134786144542,September,Septiembre,2021
13.518063070448036,September,Septiembre,2021
45.27539562050033,September,Septiembre,2021
25.188741608122314,September,Septiembre,2021
13.555669877862,October,Octubre,2021
17.325407375420994,October,Octubre,2021
4.492148107865816,October,Octubre,2021
14.485151005340107,October,Octubre,2021
32.74673623994549,October,Octubre,2021
9.698511396890547,October,Octubre,2021
7.132391813473192,November,Noviembre,2021
2.2252688880940905,November,Noviembre,2021
5.226452172781556,November,Noviembre,2021
24.060234039319646,November,Noviembre,2021
5.63443728979549,November,Noviembre,2021
4.002098968751728,November,Noviembre,2021
8.911103594033735,December,Diciembre,2021
3.3651564332851707,December,Diciembre,2021
4.148676375705894,December,Diciembre,2021
27.27171852315005,December,Diciembre,2021
12.497772812352885,December,Diciembre,2021
4.397566109145953,December,Diciembre,2021
